bechdel_ID,title,bechdel_score,bechdel_pass,rating_year,movie_info_ID
1,Starship Troopers 3: Marauder (2008),3,1,2008,5266.0
2,Short Circuit (1986),3,1,2008,7134.0
3,WALL-E (2008),1,0,2008,
4,Austin Powers in Goldmember (2002),1,0,2008,4000.0
5,Austin Powers: International Man of Mystery (1997),2,0,2008,4254.0
6,Austin Powers: The Spy Who Shagged Me (1999),1,0,2008,3482.0
7,Death Proof (2007),3,1,2008,4098.0
8,Futurama: Bender's Big Score (2007),2,0,2008,
9,Juno (2007),3,1,2008,
10,Idiocracy (2006),1,0,2008,
11,Next (2007),2,0,2008,6050.0
12,Outlaw (2007),1,0,2008,
13,Alien (1979),3,1,2008,1046.0
14,Ratatouille (2007),1,0,2008,384.0
15,Red Planet (2000),0,0,2008,9990.0
16,Rush Hour 3 (2007),1,0,2008,1242.0
17,Resident Evil: Extinction (2007),3,1,2008,9096.0
18,Reservoir Dogs (1992),0,0,2008,
19,"Bank Job, The (2008)",3,1,2008,
20,"Brave One, The (2007)",3,1,2008,
21,"Pleasure Drivers, The (2005)",3,1,2008,
22,"Fifth Element, The (1997)",1,0,2008,
23,Wild Things: Diamonds in the Rough (2005),3,1,2008,7237.0
25,"Man from Earth, The (2007)",1,0,2008,
26,Shrek the Third (2007),3,1,2008,383.0
27,Premonition (2007),3,1,2008,8326.0
28,Jumper (2008),1,0,2008,1549.0
29,Planet Terror (2007),3,1,2008,3671.0
30,88 Minutes (2007),1,0,2008,
31,Office Space (1999),1,0,2008,5030.0
32,"Silence of the Lambs, The (1991)",3,1,2008,
34,In Bruges (2008),1,0,2008,4611.0
35,"Negotiator, The (1998)",1,0,2008,
36,"Matrix, The (1999)",3,1,2008,
37,"I, Robot (2004)",1,0,2008,1811.0
38,"Rock, The (1996)",1,0,2008,
39,Angels in America (2003),3,1,2008,
40,Batman Begins (2005),1,0,2008,1571.0
41,S.W.A.T. (2003),3,1,2008,3254.0
42,Blade (1998),1,0,2008,1871.0
45,Runaway Jury (2003),1,0,2008,
47,21 (2008),3,1,2008,3613.0
48,"Italian Job, The (2003)",1,0,2008,
49,Impostor (2001),0,0,2008,
50,"Incredibles, The (2004)",3,1,2008,
51,Ocean&#39;s Eleven (2001),1,0,2008,
52,Memento (2000),1,0,2008,3192.0
53,"Transporter, The (2002)",0,0,2008,
54,"Usual Suspects, The (1995)",1,0,2008,
55,"Recruit, The (2003)",1,0,2008,
58,"Matrix Reloaded, The (2003)",2,0,2008,
59,"Matrix Revolutions, The (2003)",3,1,2008,
60,"Love Guru, The (2008)",1,0,2008,
61,Hancock (2008),0,0,2008,1011.0
62,Artificial Intelligence: AI (2001),1,0,2008,
63,"51st State, The (2001)",0,0,2008,
64,American Psycho (2000),3,1,2008,1089.0
65,"Mutant Chronicles, The (2008)",1,0,2008,
67,Sin City (2005),3,1,2008,3981.0
68,"Game, The (1997)",1,0,2008,
69,Se7en (1995),1,0,2008,1395.0
70,Murder at 1600 (1997),1,0,2008,8272.0
402,Just One of the Guys (1985),3,1,2009,
403,Manhattan (1979),1,0,2009,
404,Rushmore (1998),3,1,2009,8899.0
405,Quel maledetto treno blindato (1978),0,0,2009,
406,Gremlins (1984),1,0,2009,3522.0
407,Conan the Barbarian (1982),1,0,2009,2324.0
408,Funny People (2009),1,0,2009,5725.0
410,Fred Claus (2007),1,0,2009,7324.0
411,Lara Croft Tomb Raider: The Cradle of Life (2003),3,1,2009,
412,Lara Croft: Tomb Raider (2001),0,0,2009,3380.0
414,Thank You for Smoking (2005),1,0,2009,
415,Hard Candy (2005),3,1,2009,6200.0
416,Night at the Museum (2006),3,1,2009,2436.0
417,"Simpsons Movie, The (2007)",3,1,2009,
418,Red Sonja (1985),3,1,2009,7381.0
419,Hot Rod (2007),1,0,2009,
420,"Good Night, and Good Luck. (2005)",1,0,2009,
421,El laberinto del fauno (Pan's Labyrinth) (2006),3,1,2009,
422,Transformers (2007),3,1,2009,5146.0
423,Blood: The Last Vampire (2009),3,1,2009,8088.0
424,Dante's Peak (1997),3,1,2009,3673.0
425,Liar Liar (1997),1,0,2009,3225.0
426,Flubber (1997),2,0,2009,6720.0
427,Julie &amp; Julia (2009),3,1,2009,
428,Taken (2008),3,1,2009,1085.0
429,"Eye, The (2008)",3,1,2009,
430,Dancing at the Blue Iguana (2000),3,1,2009,
431,Broken Arrow (1996),0,0,2009,6823.0
432,Home Alone (1990),3,1,2009,
433,Home Alone 2: Lost in New York (1992),3,1,2009,1247.0
434,(500) Days of Summer (2009),1,0,2009,1472.0
435,Space Jam (1996),1,0,2009,2784.0
436,Mrs. Doubtfire (1993),3,1,2009,
440,Speed (1994),3,1,2009,1928.0
441,Ace Ventura: Pet Detective (1994),2,0,2009,2813.0
442,Silkwood (1983),3,1,2009,
443,Mermaids (1990),3,1,2009,
444,Independence Day (1996),3,1,2009,1567.0
445,Mission: Impossible (1996),1,0,2009,1392.0
446,Sphere (1998),1,0,2009,9118.0
447,CJ7 (Changjiang 7 hao) (2008),1,0,2009,
448,From Dusk Till Dawn (1996),1,0,2009,3317.0
449,"Cable Guy, The (1996)",1,0,2009,
450,Glengarry Glen Ross (1992),0,0,2009,
451,A Few Good Men (1992),1,0,2009,3082.0
452,Erin Brockovich (2000),3,1,2009,3840.0
453,G.I. Joe: The Rise of Cobra (2009),1,0,2009,1027.0
454,It (1990),1,0,2009,
455,Christine (1983),1,0,2009,
456,"Taking of Pelham 123, The (2009)",0,0,2009,
457,Carrie (1976),3,1,2009,3169.0
458,Ice Age: Dawn of the Dinosaurs (2009),1,0,2009,530.0
459,Misery (1990),1,0,2009,
460,Apt Pupil (1998),1,0,2009,
461,Hide and Seek (2005),3,1,2009,5594.0
462,Then She Found Me (2007),3,1,2009,
464,High School Musical 3: Senior Year (2008),3,1,2009,2644.0
465,Quantum of Solace (2008),1,0,2009,3168.0
467,Other People's Money (1991),3,1,2009,
468,District 9 (2009),1,0,2009,1716.0
469,Gake no ue no Ponyo (2008),3,1,2009,
470,Flash of Genius (2008),1,0,2009,
471,Orphan (2009),3,1,2009,1188.0
472,Flight of the Phoenix (2004),0,0,2009,
473,Tinker Bell (2008),3,1,2009,1661.0
474,Sleeping Beauty (1959),3,1,2009,1270.0
475,Ocean's Twelve (2004),2,0,2009,3180.0
476,Ocean's Thirteen (2007),1,0,2009,3868.0
477,Transformers: Revenge of the Fallen (2009),3,1,2009,3015.0
478,Pinocchio (1940),1,0,2009,1079.0
479,Disturbia (2007),3,1,2009,3687.0
480,Br&uuml;no (2009),0,0,2009,
484,Tenk&ucirc; no shiro Rapyuta (1986),3,1,2009,
487,"Golden Compass, The (2007)",3,1,2009,
488,Clerks. (1994),1,0,2009,
489,Mallrats (1995),2,0,2009,
490,"Savages, The (2007)",3,1,2009,
491,"Quiet American, The (2002)",2,0,2009,
492,Fashion (2008),3,1,2009,
493,"Jungle Book, The (1967)",1,0,2009,
494,9 (2009),0,0,2009,1515.0
495,"Hurt Locker, The (2008)",1,0,2009,
496,In the Loop (2009),3,1,2009,
498,Duplicity (2009),2,0,2009,
499,Rachel Getting Married (2008),3,1,2009,
500,Easy Virtue (2008),3,1,2009,
501,Twilight (2008),3,1,2009,450.0
502,Gran Torino (2008),2,0,2009,
503,Che: Part One (2008),1,0,2009,
505,"Big Lebowski, The (1998)",1,0,2009,
506,Fear and Loathing in Las Vegas (1998),1,0,2009,5180.0
508,Kill Bill: Vol. 1 (2003),3,1,2009,1980.0
509,Kill Bill: Vol. 2 (2004),3,1,2009,2449.0
510,Pirates of the Caribbean: The Curse of the Black Pearl (2003),3,1,2009,290.0
511,Road House (1989),1,0,2009,8505.0
