movie_info_ID,title,year,imdb_score,original_language,budget,revenue,country
1,Creed III (2023),2023,73,English,75000000,271616668,AU
2,Avatar: The Way of Water (2022),2022,78,English,460000000,2316794914,AU
3,The Super Mario Bros. Movie (2023),2023,76,English,100000000,724459031,AU
4,Mummies (2023),2023,70," Spanish, Castilian",12300000,34200000,AU
5,Supercell (2023),2023,61,English,77000000,340941958,US
6,Cocaine Bear (2023),2023,66,English,35000000,80000000,AU
7,John Wick: Chapter 4 (2023),2023,80,English,100000000,351349364,AU
8,Puss in Boots: The Last Wish (2022),2022,83,English,90000000,483480577,AU
9,Attack on Titan (2022),2022,59,English,71000000,254946484,US
10,The Park (2023),2023,58,English,119200000,488962491,US
11,Winnie the Pooh: Blood and Honey (2023),2023,58,English,100000,3200000,AU
12,The Exorcist (2022),2022,55," Spanish, Castilian",12000000,428214478,MX
13,Murder Mystery 2 (2023),2023,65,English,43800000,489543087,AU
14,Black Panther: Wakanda Forever (2022),2022,73,English,250000000,854041058,AU
15,The Pope's Exorcist (2023),2023,72,English,92000000,462216471,AU
16,Prizefighter: The Life of Jem Belcher (2022),2022,62,English,77600000,562112551,GB
17,Knock at the Cabin (2023),2023,64,English,20000000,54629497,AU
18,The Devil Conspiracy (2023),2023,65,English,54060000,492646395,US
19,Cazadora (2023),2023,57," Spanish, Castilian",110400000,318117812,CL
20,Gold Run (2022),2022,65,Norwegian,123500000,420430064,NO
21,The Magician's Elephant (2023),2023,73,English,82600000,473097256,AU
22,Plane (2023),2023,69,English,25000000,51000000,GB
23,The Passion of the Christ (2004),2004,74,English,25000000,622313635,AU
24,Batman: The Doom That Came to Gotham (2023),2023,64,English,145760000,321934831,US
25,Shazam! Fury of the Gods (2023),2023,69,English,125000000,132107025,AU
26,Consecration (2023),2023,65,English,54060000,492646395,US
27,Shark Side of the Moon (2022),2022,53,English,10000,17887093,US
28,Black Adam (2022),2022,71,English,200000000,391261706,AU
29,Money Shot: The Pornhub Story (2023),2023,58,English,68500000,280052393,US
30,M3GAN (2023),2023,74,English,12000000,167643991,AU
31,Ant-Man and the Wasp: Quantumania (2023),2023,63,English,200000000,466001332,AU
32,Sayen (2023),2023,62," Spanish, Castilian",73800000,370426090,CL
33,Die Hart (2023),2023,62,English,113000000,369995579,US
34,13 Exorcisms (2022),2022,55," Spanish, Castilian",2480000,1891519,ES
35,H.P. Lovecraft's Witch House (2022),2022,60,English,146740000,301123555,US
36,John Wick: Chapter 2 (2017),2017,73,English,40000000,171539887,AU
37,Sick (2022),2022,63,English,81800000,408307377,US
38,Black Warrant (2023),2023,54,English,116000000,378399280,AU
39,Shotgun Wedding (2023),2023,63,English,16050000,4495365,AU
40,John Wick: Chapter 3 - Parabellum (2019),2019,74,English,55000000,326709727,AU
41,Legion of Super-Heroes (2023),2023,63,English,113400000,778431865,US
42,Fall (2022),2022,73,English,3000000,16120263,AU
43,Lord of the Streets (2022),2022,52,English,1000000,22790427,US
44,Little Dixie (2023),2023,60,English,141340000,748525217,US
45,The Whale (2023),2023,81,English,3000000,36752010,AU
